brand,vehicle_type,battery_health_pct,range_km,top_speed_kmph,odometer_km,warranty_remaining_years,annual_maintenance_cost,Purchase_Year,Current_Year,Purchase_Price_L,Resale_Value_L,Initial_Mileage,Current_Mileage,value_for_money_score
MG,Car,83,422,102,140826,4,17678,2017,2025,2256597,565350,398,391,0.5
Tata,Bike,81,384,123,17477,6,29594,2017,2025,163428,37387,386,358,0.5
Kia,Car,64,182,172,75599,1,14664,2023,2025,859912,634623,435,344,0.5
BYD,Car,74,237,152,148016,5,33988,2017,2025,2724920,807450,311,272,0.3
BYD,Bike,95,426,86,68615,6,31383,2022,2025,198387,131549,192,165,0.7
Mahindra,Bike,96,336,178,16867,2,8381,2021,2025,104264,51258,238,167,0.8
Kia,Bike,88,420,124,39380,5,17526,2023,2025,153779,107427,166,154,0.8
TVS,Bike,74,244,72,118095,3,11617,2020,2025,94638,49262,171,164,0.4
Hyundai,Bike,86,377,99,140601,5,16994,2020,2025,89110,38371,140,137,0.6
Ola,Car,67,199,91,124409,4,7760,2018,2025,1153456,293114,409,295,0.3
Kia,Bike,88,113,126,51667,1,19951,2018,2025,149286,45698,438,387,0.4
Mahindra,Bike,78,361,73,76499,6,20422,2024,2025,126578,101907,318,306,0.6
Hyundai,Car,90,146,179,12153,0,14565,2018,2025,3485893,1171215,306,256,0.4
Hyundai,Bike,68,324,179,122148,2,23220,2017,2025,169227,48274,290,212,0.5
Tata,Car,69,243,117,107722,7,35273,2024,2025,1306505,1125823,246,186,0.4
Hyundai,Bike,96,295,151,132814,7,13761,2024,2025,169421,141891,259,241,0.8
TVS,Bike,69,389,105,147550,0,20028,2022,2025,101722,64845,199,157,0.6
BYD,Car,92,356,149,91090,6,7517,2019,2025,1308231,604724,209,203,0.7
Mahindra,Bike,84,107,144,37152,4,29164,2022,2025,96864,54546,425,302,0.5
Hyundai,Bike,63,377,169,143867,0,37603,2019,2025,130193,47615,255,217,0.5
Tata,Bike,64,423,174,40155,3,36560,2024,2025,126966,103918,179,171,0.6
TVS,Bike,82,389,134,123320,2,23636,2019,2025,170046,68999,332,330,0.6
MG,Car,98,392,150,23750,1,6041,2020,2025,2449616,984012,158,122,0.8
BYD,Car,64,476,167,15478,3,23078,2021,2025,2119712,1222997,170,163,0.6
BYD,Bike,67,122,118,146821,4,28018,2022,2025,160083,109968,196,144,0.4
Mahindra,Bike,76,183,124,139853,2,14445,2019,2025,166077,67219,373,292,0.5
BYD,Car,60,354,92,86382,4,18019,2024,2025,2649457,2226051,146,134,0.5
Hyundai,Car,71,472,105,110529,4,17645,2022,2025,1024500,637074,208,194,0.6
Tata,Bike,94,123,141,31233,4,35694,2024,2025,95955,78000,423,412,0.6
BYD,Car,73,496,113,128604,2,31434,2019,2025,2253009,969623,324,242,0.5
BYD,Car,77,424,125,79624,3,4507,2024,2025,2531111,2090876,375,373,0.7
MG,Car,69,435,63,17529,5,12980,2021,2025,2407679,1169359,387,338,0.5
MG,Car,74,415,113,5075,4,25716,2018,2025,3027372,1009434,126,93,0.4
Ola,Bike,92,137,173,102984,1,4664,2020,2025,158555,64894,231,199,0.7
TVS,Car,78,320,63,102175,3,36024,2022,2025,1888896,1184751,190,182,0.4
Hyundai,Bike,93,313,178,106906,4,31951,2024,2025,100758,79151,183,144,0.8
BYD,Bike,84,432,76,6657,2,23300,2023,2025,122987,95606,172,139,0.7
Kia,Car,75,184,171,124693,4,34024,2023,2025,1213887,781021,312,227,0.5
BYD,Bike,67,484,139,56023,4,38419,2020,2025,141696,66784,313,243,0.5
Tata,Bike,94,103,132,129411,0,8721,2021,2025,177840,89322,152,132,0.6
Ola,Car,80,294,149,82471,0,4296,2017,2025,2149264,444295,426,387,0.5
TVS,Car,78,213,133,42637,3,10448,2024,2025,1394890,1111630,166,149,0.6
Kia,Car,70,314,130,19828,7,23481,2020,2025,2398860,1070892,433,328,0.4
Ola,Bike,70,435,132,103653,6,25005,2017,2025,150212,44088,351,256,0.5
Mahindra,Bike,70,464,114,91780,0,24866,2018,2025,89230,34024,119,117,0.5
TVS,Bike,81,240,107,43616,2,8325,2023,2025,181897,134005,324,244,0.6
BYD,Bike,80,266,150,56416,0,16900,2023,2025,104608,79643,395,361,0.7
BYD,Car,86,386,155,137595,2,24236,2022,2025,1970343,1137305,414,314,0.7
TVS,Bike,77,483,108,95825,4,19458,2024,2025,163478,134864,351,270,0.7
BYD,Car,99,434,82,144262,3,16996,2024,2025,1977043,1523793,381,279,0.8
Hyundai,Car,97,104,86,66850,0,35175,2020,2025,851818,352067,372,362,0.4
TVS,Car,89,226,84,56079,0,21504,2020,2025,1844406,997304,298,289,0.4
Ola,Car,92,185,152,79016,3,14491,2018,2025,1229782,348809,349,258,0.5
TVS,Bike,80,185,83,59698,2,6093,2019,2025,126109,59072,414,374,0.5
Kia,Car,61,494,139,130650,5,6907,2024,2025,1205202,893248,371,327,0.7
BYD,Bike,72,123,139,19966,7,29995,2019,2025,90025,29013,236,181,0.3
Hyundai,Car,61,144,151,11045,2,31136,2022,2025,1133219,765278,386,303,0.3
Hyundai,Car,90,210,79,67797,0,33400,2018,2025,2943377,1076749,299,256,0.3
Mahindra,Car,69,389,112,76699,5,25162,2024,2025,1735534,1380055,318,264,0.6
Ola,Bike,82,494,142,109765,2,30199,2024,2025,140649,102291,328,264,0.8
MG,Car,81,284,133,98646,2,24423,2021,2025,3470750,2030680,380,313,0.5
MG,Car,88,334,85,93279,0,24392,2017,2025,1798284,471796,333,293,0.4
TVS,Car,92,256,119,64614,0,24199,2021,2025,2718565,1459812,449,314,0.5
Mahindra,Car,90,260,61,93131,6,35662,2021,2025,3000508,1568537,258,236,0.4
Tata,Bike,73,299,62,90582,0,23330,2022,2025,147403,92665,268,208,0.5
TVS,Bike,69,221,162,76314,1,10527,2020,2025,182885,94452,194,189,0.5
Mahindra,Car,77,323,115,149875,0,24718,2024,2025,1114152,818454,154,149,0.6
Ola,Car,70,464,125,47530,5,36074,2017,2025,1593386,369043,364,262,0.4
Ola,Bike,98,122,84,138102,1,18058,2024,2025,112457,81873,166,137,0.6
Ola,Bike,62,296,168,65414,4,32489,2024,2025,168826,134802,108,90,0.6
Ola,Bike,61,384,127,99566,2,18839,2023,2025,118438,91135,165,140,0.6
Ola,Car,67,105,74,37040,1,36472,2021,2025,1557196,895345,169,122,0.2
Mahindra,Bike,90,407,141,18945,4,15719,2019,2025,168770,65566,363,310,0.7
Mahindra,Car,67,444,66,116004,7,30159,2021,2025,1258734,756477,364,311,0.4
Hyundai,Bike,61,188,150,146710,5,13940,2024,2025,134958,109193,205,193,0.5
Kia,Bike,81,477,141,12558,2,11244,2019,2025,173660,78849,243,231,0.7
MG,Car,64,497,130,33537,2,19688,2019,2025,1596015,536508,433,315,0.5
BYD,Bike,66,372,179,15037,2,32529,2017,2025,119383,23876,271,232,0.5
Ola,Car,79,383,152,26007,7,15455,2020,2025,2418150,1164550,105,80,0.6
Tata,Bike,87,364,100,40064,5,29494,2019,2025,162050,54413,175,140,0.5
BYD,Car,72,214,119,15423,7,27521,2022,2025,1095064,748368,254,226,0.4
Mahindra,Bike,61,223,103,29229,7,18301,2022,2025,102681,71837,368,272,0.4
Tata,Bike,91,359,92,29628,3,10036,2018,2025,89006,30342,197,190,0.6
Tata,Car,85,268,125,130009,3,27919,2020,2025,3226554,1659098,319,312,0.4
Tata,Car,62,135,141,47529,1,5711,2018,2025,2643129,937393,379,293,0.3
Hyundai,Car,72,328,169,49884,1,31681,2022,2025,3274111,1942324,200,156,0.5
Mahindra,Car,80,233,82,141276,2,28699,2023,2025,2056997,1373630,308,231,0.4
Tata,Bike,96,343,123,87638,7,23998,2019,2025,112214,43259,337,276,0.6
Ola,Bike,82,164,65,90884,7,38634,2019,2025,179267,64839,209,151,0.3
TVS,Bike,66,336,122,8074,4,16916,2017,2025,86180,23052,144,105,0.4
Tata,Bike,76,102,102,146925,1,32465,2024,2025,189852,145292,182,140,0.4
Hyundai,Bike,87,136,84,59998,0,22945,2018,2025,85280,23606,179,140,0.4
BYD,Bike,89,208,142,37376,5,36457,2023,2025,101268,65666,216,213,0.6
Mahindra,Car,64,349,67,133936,7,3118,2024,2025,2478920,2124237,111,78,0.5
Kia,Bike,83,102,176,61167,0,38623,2021,2025,115121,57899,247,225,0.4
Hyundai,Bike,66,334,96,120517,1,35863,2021,2025,125522,76038,298,297,0.4
Tata,Car,93,350,149,36711,4,5550,2020,2025,2672384,1297959,132,115,0.7
Mahindra,Bike,92,242,152,141568,0,22281,2020,2025,141390,77631,151,127,0.6
TVS,Bike,86,347,118,90536,2,34078,2022,2025,162093,91912,387,377,0.6
Tata,Bike,73,155,87,143992,2,30918,2019,2025,199975,65091,317,270,0.3
Hyundai,Car,78,160,112,57314,3,37024,2018,2025,3154866,777337,198,151,0.2
MG,Car,97,167,179,7700,3,3918,2017,2025,1272201,377301,389,328,0.6
Ola,Bike,71,178,130,109932,3,6176,2017,2025,127036,33485,129,101,0.4
Kia,Car,62,426,114,22958,5,14748,2020,2025,1556750,763002,418,403,0.5
BYD,Bike,66,466,95,20388,7,27716,2023,2025,104625,67294,119,97,0.6
Hyundai,Bike,94,295,121,143264,4,21412,2021,2025,179180,91754,261,183,0.6
Mahindra,Bike,84,294,74,141640,2,29972,2019,2025,84219,31406,351,339,0.4
Kia,Car,74,122,113,137623,4,30266,2019,2025,2050521,845450,232,164,0.2
Kia,Bike,78,113,120,42447,0,24739,2022,2025,153262,86411,222,195,0.4
Kia,Bike,78,489,156,121308,6,31771,2023,2025,109287,74670,220,156,0.7
Tata,Bike,82,388,113,90962,2,31326,2021,2025,114990,63470,111,104,0.6
Ola,Bike,70,108,128,98115,3,38013,2018,2025,132193,41313,198,171,0.2
Tata,Bike,80,239,88,82262,5,3269,2021,2025,170515,105468,176,132,0.6
Mahindra,Car,93,341,140,17984,7,3667,2020,2025,2110460,1040776,433,362,0.7
Tata,Bike,98,352,168,49204,3,36182,2022,2025,193145,133141,423,406,0.7
MG,Car,66,326,86,46395,5,4708,2023,2025,2040602,1386153,157,132,0.5
Ola,Bike,86,472,140,100493,0,10282,2024,2025,194183,143404,128,104,0.9
Ola,Car,82,194,174,24748,7,24496,2021,2025,3099411,1519860,367,364,0.5
Mahindra,Bike,97,278,127,72070,2,14778,2019,2025,136704,44211,437,386,0.6
BYD,Bike,79,102,172,91190,7,24896,2017,2025,133651,37119,265,210,0.4
MG,Car,86,283,71,142556,7,9224,2018,2025,1967157,615533,245,211,0.4
Hyundai,Car,67,145,82,14213,4,31954,2024,2025,2379646,1807852,279,257,0.3
Tata,Bike,96,391,109,25202,7,18922,2020,2025,115300,52262,153,146,0.7
TVS,Car,62,240,134,94553,4,33221,2017,2025,995170,199033,391,367,0.3
Tata,Car,61,112,159,108139,7,28956,2021,2025,1551718,918334,259,192,0.3
Kia,Bike,81,285,135,104004,0,13727,2017,2025,139625,30982,181,156,0.5
Tata,Bike,65,184,132,25925,5,37480,2018,2025,125116,43711,385,330,0.3
Hyundai,Bike,98,142,147,67372,2,22655,2018,2025,100405,29046,252,183,0.5
Tata,Bike,99,483,141,129430,4,11586,2022,2025,96725,64462,391,302,0.9
MG,Bike,95,255,86,74366,6,24820,2018,2025,166264,46774,178,125,0.5
MG,Car,83,283,118,117798,3,34667,2023,2025,2802009,1945268,202,178,0.5
Ola,Bike,71,146,68,109197,3,3171,2022,2025,117593,80427,103,81,0.4
Mahindra,Car,76,305,92,50842,4,7895,2022,2025,1024225,692650,158,124,0.6
BYD,Bike,81,309,129,57901,5,30351,2019,2025,173255,68915,224,158,0.5
TVS,Bike,78,374,110,32257,2,23318,2024,2025,195375,149382,256,228,0.7
Kia,Car,68,182,156,99900,4,23102,2018,2025,3378850,1238032,433,351,0.3
Tata,Bike,71,196,99,12581,0,15722,2023,2025,125768,93969,398,388,0.5
Tata,Car,91,278,65,31749,2,29597,2020,2025,1209749,642868,274,261,0.4
Hyundai,Car,90,454,63,136520,4,9923,2021,2025,2188623,1349239,261,195,0.6
Mahindra,Car,76,247,62,22017,6,18682,2020,2025,982054,476767,340,300,0.4
MG,Bike,82,384,72,10886,3,9602,2021,2025,180267,107526,441,387,0.6
TVS,Bike,69,483,85,120706,2,36702,2023,2025,124049,92580,259,207,0.6
Ola,Bike,89,171,93,67480,1,14405,2019,2025,173281,65098,214,158,0.5
MG,Bike,78,316,136,26993,2,19617,2023,2025,192663,132627,142,117,0.6
Kia,Bike,85,308,112,28499,3,19972,2019,2025,104042,48369,448,383,0.6
Mahindra,Bike,85,420,106,98186,6,37575,2020,2025,142980,71315,298,262,0.6
Kia,Car,70,393,67,135289,2,17918,2023,2025,1365766,1005452,310,228,0.5
BYD,Bike,79,223,135,18498,0,13513,2018,2025,172855,44668,247,214,0.5
Ola,Bike,63,449,67,143009,6,30982,2023,2025,140661,101618,162,159,0.5
BYD,Bike,71,255,78,67698,3,29833,2019,2025,96759,40498,325,247,0.3
Hyundai,Bike,84,132,164,107577,3,33410,2021,2025,166448,100459,212,181,0.5
Kia,Car,69,368,133,56184,5,22914,2022,2025,1065327,621647,167,163,0.6
Hyundai,Car,81,315,91,79326,6,34270,2021,2025,3208620,1599186,333,320,0.4
Tata,Car,66,200,80,97412,0,30280,2022,2025,1591945,897610,149,120,0.3
BYD,Car,83,279,123,18503,7,6687,2020,2025,3403729,1419696,204,149,0.5
Mahindra,Car,61,226,82,136074,1,29683,2020,2025,2748294,1194049,175,124,0.2
Kia,Bike,91,432,150,141349,2,22205,2024,2025,118466,94283,329,323,0.8
TVS,Car,80,476,148,43073,0,16869,2023,2025,3201244,2181640,447,343,0.7
Ola,Car,66,268,130,53268,2,7384,2018,2025,1837183,550882,338,262,0.4
